Tipo;Grupo;Nome do Arquivo;Caminho Completo;Pasta;Tamanho (Bytes);Tamanho (Formatado);Total de Cópias
Por Nome;Nome-1;Finis.Hominis.1971.WD1080p.MemoriadaTV.mkv;Y:\Mídia\Filmes\Finis Hominis (1971)\Finis.Hominis.1971.WD1080p.MemoriadaTV.mkv;Finis Hominis (1971);1666551916;1.55 GB;2
Por Nome;Nome-1;Finis.Hominis.1971.WD1080p.MemoriadaTV.mkv;Y:\Mídia\Filmes\1971 - Finis Hominis\Finis.Hominis.1971.WD1080p.MemoriadaTV.mkv;1971 - Finis Hominis;1666551916;1.55 GB;2
Por Nome;Nome-2;Frankenstein.mp4;Y:\Mídia\Filmes\Frankenstein - 1984\Frankenstein.mp4;Frankenstein - 1984;236752811;225.79 MB;2
Por Nome;Nome-2;Frankenstein.mp4;Y:\Mídia\Filmes\Frankenstein 2025\Frankenstein.mp4;Frankenstein 2025;5449002772;5.07 GB;2
Por Nome;Nome-3;Homem de Ferro 3 2013 1080p.mkv;Y:\Mídia\Filmes\Homem de Ferro 1 (2008)\Homem de Ferro 3 2013 1080p.mkv;Homem de Ferro 1 (2008);2132082145;1.99 GB;3
Por Nome;Nome-3;Homem de Ferro 3 2013 1080p.mkv;Y:\Mídia\Filmes\Homem de Ferro 2 (2010)\Homem de Ferro 3 2013 1080p.mkv;Homem de Ferro 2 (2010);2132082145;1.99 GB;3
Por Nome;Nome-3;Homem de Ferro 3 2013 1080p.mkv;Y:\Mídia\Filmes\Homem de Ferro 3 (2013)\Homem de Ferro 3 2013 1080p.mkv;Homem de Ferro 3 (2013);2132082145;1.99 GB;3
Por Nome;Nome-4;O.Estranho.Mundo.de.Ze.do.Caixao.68.WD720p.MemoriadaTV.mkv;Y:\Mídia\Filmes\O Estranho Mundo do Zé do Caixão (1968)\O.Estranho.Mundo.de.Ze.do.Caixao.68.WD720p.MemoriadaTV.mkv;O Estranho Mundo do Zé do Caixão (1968);1200145371;1.12 GB;2
Por Nome;Nome-4;O.Estranho.Mundo.de.Ze.do.Caixao.68.WD720p.MemoriadaTV.mkv;Y:\Mídia\Filmes\1968 - O Estranho Mundo do Zé do Caixão\O.Estranho.Mundo.de.Ze.do.Caixao.68.WD720p.MemoriadaTV.mkv;1968 - O Estranho Mundo do Zé do Caixão;1200145371;1.12 GB;2
Por Nome;Nome-5;Predador 2 A Caçada Continua 1990 1080p.mkv;Y:\Mídia\Filmes\O Predador (1987)\Predador 2 A Caçada Continua 1990 1080p.mkv;O Predador (1987);2337041934;2.18 GB;2
Por Nome;Nome-5;Predador 2 A Caçada Continua 1990 1080p.mkv;Y:\Mídia\Filmes\Predador 2 A Caçada Continua (1990)\Predador 2 A Caçada Continua 1990 1080p.mkv;Predador 2 A Caçada Continua (1990);2337041934;2.18 GB;2
